"tid","fcid","title","city","featured_image","intro","subtitle","term_description"
"46","17|646|647","Irmo / Ballentine / Chapin","Columbia","4489","The northwest area of Greater Columbia offers affordable homes with convenient access to shopping and stores.","New Homes in","<p>The northwest area of Greater Columbia is one of the fastest growing residential areas of the city. It includes the towns of Irmo, Ballentine and Chapin.  This area is convenient to downtown via I-26 and I-126 and also offers easy access to Greenville and Spartanburg via I-26. Like Lexington,  the area offers extensive access to Lake Murray and its vast array of outdoor activities.  It is also the home to Columbiana Centre,a large regional mall that has consistently been the first choice for retailers in the South Carolina midlands region and the new Palmetto Health Parkridge Hospital a state of the art regional hospital serving the residents of Northwest Columbia. Irmo has the largest population of any municipality in <a href=""http://www.lex-co.com/Index.html"">Lexington County</a> and many new housing developments ranging from starter new home neighborhoods to highly amenitized upscale neighborhoods. Chapin is a uniquely rural and beautiful area of Columbia also boasts a wide array of housing opportunities for citizens looking for their dream new home.</p>
"
"45","648|649","Lexington / West Columbia","Columbia","2815","Right on the border of picturesque Lake Murray, Lexington offers pastoral beauty and plenty of outdoor activities.","New Homes in","<p>The Town of Lexington has continued to be the political center of Lexington County, one of the fastest growing areas of the nation. With new major highways passing nearby, the town continues to experience phenomenal growth. Lexington gives you easy access to Columbia on I 20 east and to Augusta and Atlanta on I 20 West. Lexington also borders Lake Murray one of Columbia's finest recreational assets. The lake covers an area of about 50,000 acres of land and has over 520 miles of shoreline. The town also boasts a broad selection of shopping and recreational opportunities, resulting in higher demands for new homes in the region. Housing opportunities range from first time homeowner product to high end luxury homes on Lake Murray.</p>
"
"1026","671","Litchfield Beach","Litchfield Beach","4513","","New Homes in","<p>Litchfield Beach lies just to the north of Pawleys Island and south of Murrells Inlet. Lovely in its own right, it serves as a convenient midpoint between the quiet, historic city of Georgetown and the fun-filled, entertainment destination of Myrtle Beach. It is an unincorporated community governed by Georgetown County. The area was settled in the early 1700s and its name comes from Litchfield Plantation, a former rice plantation in the community. It is renown for its expansive, sugar white beaches and attractive neighborhoods which are secluded from the hustle-bustle of Myrtle Beach. </p>
"
"1119","650|651","Lugoff / Elgin","Columbia","4503","","New Homes in","<p>Nestled in the heart of the Palmetto State, Lugoff / Elgin is an area in Kershaw County, SC located on the western side of the historic city of Camden. The area is rapidly becoming a popular place to live because of its close proximity to job centers and Columbia, SC, excellent schools and relatively low cost of living compared with other Midlands locations.</p>
"
"1115","652|653","Mauldin","Greenville","4499","","New Homes in","<p>In the foothills of South Carolina lies Mauldin, a growing city in southern Greenville County. Mauldin was named after SC's Lieutenant Governor, W. L. Mauldin in 1820 when he was able to direct the Greenville Laurens Railroad Company to come through the village of Mauldin and open a train station. Over time, the entire area took the name of Mauldin. Today, Mauldin is a part of the “Golden Strip”, an area of three Greenville suburbs: Mauldin, Simpsonville and Fountain Inn linked by Interstate 385 that offers attractive neighborhoods, well-regarded, award-winning schools, churches, and close-by shopping and conveniences.</p>
"
"1166","764|765","Murrells Inlet","Murrells Inlet","4845","","New Homes in",""
"1179","774|775","Myrtle Beach","Myrtle Beach","4867","","New Homes in","<p><span style=""font-size: 14px;"">Myrtle Beach and the Grand Strand region encompass over 60 miles of beautiful beaches and seaside communities along the Atlantic Coast of South Carolina. This region stretches from the SC/NC state line in the north down along the coastline ending with Pawleys Island in Georgetown County. From sleepy seaside towns to sizzling centers of recreation and exciting nightlife to outdoorsy family-friendly communities, the Myrtle Beach region has something for everyone. Today, an estimated 18 million visitors per year flock to the Myrtle Beach region to enjoy the stunning white sand beaches, plentiful seafood, world-class golf courses, thrilling attractions and family activities. The region is much more than just a vacation destination, it’s a top choice for homebuyers looking for a more relaxed pace of life where salt on your skin and sand in your shoes feels just like home.</span></p>
"
"1121","664|665","N. Charleston / Goose Creek","Charleston","4515","","New Homes in","<p>After incorporation in 1972, North Charleston has grown to become the third-largest city in South Carolina.  Today its population has grown to nearly 110,000 people.</p>
<p>North Charleston, Goose Creek and Summerville are suburbs north of the City of Charleston and popular areas for people to live and work in the Lowcountry of South Carolina. </p>
<p>The Goose Creek area which is generally to the right of Interstate 26 is known for its natural beauty, historic plantations, good schools and beautiful lakes and rivers.  The City of Goose Creek is the most densely populated city in Berkeley County with nearly 40,000 residents, yet it has the feel and charm of a small southern town.</p>
"
"44","18|632|633","NE Columbia / Blythewood","Columbia","4481","This growing area features convenient access to some of the area’s larger employers including Ft. Jackson, Blue Cross Blue Shield, Providence Hospital and Siemens.","New Homes in","<p>Situated northeast of downtown Columbia, this part of town is one of the fastest growing areas.  Route 277, an expressway with limited access, connects Northeast Columbia & Blythewood with downtown. Northeast residents also have easy access to Fort Jackson  via I-77 “ The Charlotte Corridor”(Charlotte, NC & Charleston, SC) and , I-20 (Florence, Augusta, GA) ).  Two Notch Road (Hwy 1) is the major road along which most of Northeast Columbia's commercial and retail enterprises are found including the Village at Sandhills, a 300-acre mixed use development combining a distinctive streetscape atmosphere with specialty retailers and restaurants. Many large companies including Providence Hospital Northeast, RBMG, BoMag, Patterson Fan, CSC, Amcor, Pure Power, Spirax Sarco Inc. and Blue Cross Blue Shield are located in this area.   Residential development has grown rapidly in Columbia over the past 12 years, and nowhere is this more evident than in the Northeast area of town.  Great Southern Homes has many new home communities in Northeast Columbia which include moderately priced communities for the first time home buyer to exclusive estate syle communities.</p>
"
"1027","654|655","Pawleys Island","Pawleys Island","4487","","New Homes in","<p>Situated on the south end of the Grand Strand, Pawleys Island, South Carolina, is a picturesque seaside community that offers a tranquil and welcoming atmosphere to its residents and vacationers year-round. Home to large swaths of undeveloped marshland, rivers, and oceanfront state parks, this area just 30 minutes south of Myrtle Beach, South Carolina, is a perfect destination for outdoors-enthusiasts and those who appreciate the beauty of the Lowcountry landscape offered by a Pawleys Island.</p>
"
"1116","656|657","Simpsonville","Greenville","4500","","New Homes in","<p>Simpsonville is a city located in the southeastern part of Greenville County. There are many reasons why Simpsonville is one of the fastest new home markets in the state. It offers a great, convenient location in which to live because of its road connections and infrastructure. It is noted for having low unemployment due to a diversity of industries including Para-Chem, Kemet, Sealed Air and Milliken. It has great schools such as award-winning Hillcrest High School. It has a bustling downtown with shops, groceries, dining and lodging. Recently, the Heritage Park Amphitheater opened which draws national touring acts for performances. Simpsonville is also home to the 2008 Little League Softball World Champions.</p>
"
"1060","667","Spartanburg","Spartanburg","4518","There is something for every member of the family in and around the Spartanburg area.","New Homes in","<p>Spartanburg is nestled in the foothills of the Blue Ridge Mountains, between Charlotte, NC and Atlanta, GA, and less than an hour south of Asheville, NC. Spartanburg is the largest city in Spartanburg County and the second-largest city in the 10-county region known in South Carolina as the Upstate. Spartanburg is known in the region as popular destination for dining, entertainment, shopping and education. It is home to the outstanding small colleges of Converse and Wofford colleges and the University of South Carolina Upstate campus. The City is host to a robust manufacturing and transportation workplace with emphasis in the textile and automotive industries.</p>
"
"1117","679|680","St. Andrews","Columbia","4501","","New Homes in","<p>One of the Midlands region and the City of Columbia's most popular places to find a new home is in St. Andrews, SC, an area located just to the north of the City. The area offers relatively reasonable cost of living and attractive house pricing, even though it is has such a great, convenient location. Recognized Richland School District One schools are considered a strong point for the area. Its close proximity to the Columbiana Mall in the Harbinson area and the Riverbanks Zoo at the confluence of the Saluda and Broad Rivers are important amenities that are part of the St. Andrews area. The bedroom community offers excellent shopping, miles of interstate connectivity and close proximity to Lake Murray, the Midland's 50,000-acre recreational playground, making it the perfect place for your dream new home.</p>
"
"47","611|612","Sumter","Sumter","4488","Sumter boasts easy access to major highways and a vibrant local arts scene.","New Homes in","<p align=""justify"">Sumter County is located in the heart of South Carolina, with the City of Sumter just 44 miles east of the state capital, Columbia. Sumter is encircled by a modern highway system, including interstates 95, 20, 77 and 26. Sumter enjoys easy access to these interstates via four-lane U.S. Highways. Once a sleepy agricultural town, Sumter has become a burgeoning industrial center. With five industrial parks housing about 65 manufacturing facilities and employing about 8,200, the county is a perfect place for both manufacturing and retail expansion, and these keep new homes in Sumter in demand. Shaw Air Force Base is also located here, home to the 20th Fighter Wing, Headquarters Ninth Air Force/United States Central Command Air Forces, and several associate units.</p>
<p align=""justify""> </p>
<p align=""justify"">Whether walking the tree-lined streets of downtown Sumter or its various parks, Sumter offers the shade and tranquility perfect for a Sunday stroll. While still industrialized, Sumter has a soft side for the finer things in life. The arts are a rich part of Sumter’s identity, with the annual Arts Festival showcasing works from local artists. Sumter’s Opera House is probably one of our best-known landmarks. With its towering 100-foot clock tower, the Opera House is a legend in its own right. Sumterites know how to let their hair down too. At the <a href=""mailto:Sumter@Six"">Sumter@Six</a> performances, attendees can hear nationally known bands from the area, such as The Tams or The Headliners, enjoy taste-testing local vendors and do the official state dance, the shag, all night long. Living in your new home in Sumter allows you to enjoy all that this beautiful place has to offer. Sumter also has numerous annual festivals and special events, beginning with the world-renowned Iris Festival each May. In addition to the Iris Festival, Sumter residents enjoy many other cultural events including Sumter-Shaw Streetfest, Scottish Country Fair, The Poinsettia Festival and Fantasy of Lights, Black Cowboy Festival, the Mary McLeod Bethune Birthday Celebration, the Rub O' the Green Golf Tournament, Sumter County Fair and much more. Affordable new homes for sale in Sumter makes this a great place to relocate or retire.</p>
"
"1118","658|659","Swansea","Columbia","4502","","New Homes in","<p>Swansea is a town in Lexington County, South Carolina. Swansea has great schools, a relaxed lifestyle, friendly neighbors, safe streets, amenities normally found in larger communities and a population that welcomes new residents with a warm handshake. Located only minutes from Columbia, our bedroom community offers the country atmosphere for your new home, with easy close access to all the entertainment and conveniences of the larger cities. Visit Swansea and you will find the great life!</p>
"
"1055","668|669","The Western Upstate","Greenville","3809","Now building in the Western Upstate!","New Homes in","<p>The westernmost area of SC, commonly known as Western Upstate, is a diverse mix of cities, towns, lakes, rivers, waterfalls, foothills, mountains and outdoor and college sports.  The region is anchored by Greenville, South Carolina’s largest, most urban city. It has garnered much attention over its rapid growth and CNN Money recently ranked it as one of the “Top 10 Fastest Growing US Cities”.  Greenville has exceptionally strong job growth and receives accolades as an excellent city for young professionals, food lovers and patrons of the arts, thus keeping new homes in Greenville in demand.</p>
<p>To the west of Greenville lies the manufacturing-rich base of the City of Anderson, home to one of the area’s largest outdoor complexes, the 300 acre Anderson Sports and Entertainment Center. Also, the small college town of Clemson is now ranked as ""one of the top 20 public universities in America"".  An outstanding feature of the Western Upstate area is the many small towns and suburbs where families looking for new homes can choose to live and be close to work with ample excellent local schools to choose from.</p>
"
